country,continent,region,pdi,idv,mas,uai,lto,ivr,1990,1990_male,1990_female,1995,1995_male,1995_female,2000,2000_male,2000_female,2005,2005_male,2005_female,2010,2010_male,2010_female,2015,2015_male,2015_female,2020,2020_male,2020_female,2024,2024_male,2024_female
Hungary,Europe,Eastern Europe,46,71,88,82,45.0,31.0,347510,322234,296957,366787,436616,475508,584567,689565,156185,147202,138219,174216,210212,235719,303065,357501,191325,175032,158738,192571,226404,239789,281502,332064
Poland,Europe,Eastern Europe,68,47,64,93,49.0,29.0,1127393,963028,822627,724887,649114,683663,738099,1739901,466953,393886,334462,294950,265808,288687,334071,705193,660440,569142,488165,429937,383306,394976,404028,1034708
Republic of Moldova,Europe,Eastern Europe,90,27,39,95,71.0,19.0,533397,365099,250134,174263,132386,101730,77291,188207,232099,152304,100422,69025,52562,40778,31135,78012,301298,212795,149712,105238,79824,60952,46156,110195
Romania,Europe,Eastern Europe,90,46,42,90,32.0,20.0,135745,134970,134204,139430,148107,212560,338734,655579,58846,60597,63248,68001,74214,108131,174220,328864,76899,74373,70956,71429,73893,104429,164514,326715
Russian Federation,Europe,Eastern Europe,93,46,36,95,58.0,20.0,11524948,11928927,11900297,11667588,11199727,9098229,7297611,7605774,5655422,5925452,5982851,5806597,5515763,4476163,3590691,3743704,5869526,6003475,5917446,5860991,5683964,4622066,3706920,3862070
Ukraine,Europe,Eastern Europe,92,55,27,95,51.0,14.0,6892920,6172338,5527087,5050302,4818767,4915142,4997387,5064173,2953603,2644845,2368364,2168060,2072474,2113924,2149298,2178022,3939317,3527493,3158723,2882242,2746293,2801218,2848089,2886151
Denmark,Europe,Northern Europe,18,89,16,23,59.0,70.0,235918,298278,372128,423167,509751,616741,718856,847475,114866,145591,180540,203588,246127,303282,354048,415797,121052,152687,191588,219579,263624,313459,364808,431678
Estonia,Europe,Northern Europe,40,62,30,60,71.0,16.0,381997,315755,249512,233701,217890,194664,199277,203046,171691,136268,100844,94244,87644,80024,86767,88408,210306,179487,148668,139457,130246,114640,112510,114638
Finland,Europe,Northern Europe,33,75,26,59,63.0,57.0,63255,99729,136203,192169,228481,314856,386052,514432,31682,49575,67469,96429,115105,159315,198822,261465,31573,50154,68734,95740,113376,155541,187230,252967
Iceland,Europe,Northern Europe,30,83,10,50,57.0,67.0,9584,12738,15892,25492,35091,39072,65424,98818,4248,5727,7207,12413,17619,19070,35716,53946,5336,7011,8685,13079,17472,20002,29708,44872
Ireland,Europe,Northern Europe,28,58,68,35,51.0,65.0,227783,247379,376321,620579,751381,802470,951686,1216237,110538,119141,185815,321411,375846,394569,466849,584589,117245,128238,190506,299168,375535,407901,484837,631648
Latvia,Europe,Northern Europe,44,70,9,63,69.0,13.0,646007,538093,430178,376725,313786,265418,239422,220471,290800,234216,177632,154745,124675,104011,97022,89342,355207,303877,252546,221980,189111,161407,142400,131129
Lithuania,Europe,Northern Europe,42,55,19,65,49.0,16.0,349258,273587,214311,201209,160772,136021,145184,175194,164585,128641,100546,94189,69606,57508,73148,92800,184673,144946,113765,107020,91166,78513,72036,82394
Norway,Europe,Northern Europe,31,81,8,50,55.0,55.0,192587,233302,292440,361144,524601,746375,852238,1012404,99562,117222,144826,176444,267235,389370,439206,506707,93025,116080,147614,184700,257366,357005,413032,505697
Sweden,Europe,Northern Europe,31,87,5,29,52.0,78.0,784283,944802,1022156,1126971,1372074,1638195,2033902,2272158,380975,459807,497818,547615,666972,795632,987817,1089525,403308,484995,524338,579356,705102,842563,1046085,1182633
United Kingdom,Europe,Northern Europe,35,76,66,35,60.0,69.0,3664896,4173053,4747902,5989992,7713303,9071431,10520870,11845479,1760942,1986267,2235493,2849988,3721890,4478604,5319314,6101679,1903954,2186786,2512409,3140004,3991413,4592827,5201556,5743800
Albania,Europe,Southern Europe,90,27,80,70,56.0,15.0,66013,71354,76695,64739,52784,52031,48810,46377,30579,33284,35990,32993,26901,26517,24908,23667,35434,38070,40705,31746,25883,25514,23902,22710
Bosnia and Herzegovina,Europe,Southern Europe,90,40,48,87,36.0,44.0,56000,69476,82952,47287,38945,38597,36042,34120,26538,33115,39691,22481,18581,18412,16880,15980,29462,36361,43261,24806,20364,20185,19162,18140
Croatia,Europe,Southern Europe,73,42,40,80,40.0,33.0,475438,674085,585298,579273,573248,561093,528056,527831,222531,315733,274823,271645,268466,260473,245564,239311,252907,358352,310475,307628,304782,300620,282492,288520
Greece,Europe,Southern Europe,60,59,57,100,51.0,50.0,618139,857850,1111665,1190707,1321149,1242924,1340456,1423964,330038,445004,559794,587677,640731,570529,642639,682674,288101,412846,551871,603030,680418,672395,697817,741290
Italy,Europe,Southern Europe,50,53,70,75,39.0,30.0,1529367,1810642,2143259,3285903,4719233,5506199,6223851,6553671,671684,811202,982944,1538889,2136841,2486229,2893857,3037046,857683,999440,1160315,1747014,2582392,3019970,3329994,3516625
Malta,Europe,Southern Europe,56,59,47,96,47.0,66.0,15077,17740,21521,24560,33008,52642,114760,199466,7012,8366,10289,11899,17118,28332,66055,114811,8065,9374,11232,12661,15890,24310,48705,84655
Montenegro,Europe,Southern Europe,88,27,48,90,40.0,20.0,73743,73743,73743,73743,78512,71719,70999,92237,29497,29497,29497,29497,31639,28178,27995,42048,44246,44246,44246,44246,46873,43541,43004,50189
North Macedonia,Europe,Southern Europe,90,40,45,87,35.0,35.0,95142,109343,125665,127667,129701,130730,131311,150902,39661,45581,52385,53220,54067,54496,54740,63435,55481,63762,73280,74447,75634,76234,76571,87467
Portugal,Europe,Southern Europe,63,59,31,99,42.0,33.0,435782,532822,651472,771184,762825,864814,1001963,1127184,209922,259337,320319,376774,371536,398390,479936,539916,225860,273485,331153,394410,391289,466424,522027,587268
Serbia,Europe,Southern Europe,86,42,43,92,37.0,28.0,1064614,1543744,1419951,1078633,901044,797595,733091,712550,498523,715888,647339,484144,400596,352725,323353,314538,566091,827856,772612,594489,500448,444870,409738,398012
Slovenia,Europe,Southern Europe,71,81,19,88,50.0,48.0,178077,174419,214508,217218,253786,237616,277964,315122,89514,90255,114772,116741,145138,134460,162815,184580,88563,84164,99736,100477,108648,103156,115149,130542
Spain,Europe,Southern Europe,57,67,42,86,47.0,44.0,813588,1258176,2023886,4372449,6281193,5892847,7146130,8870527,393727,621224,1021367,2284591,3223476,2893965,3465813,4287663,419861,636952,1002519,2087858,3057717,2998882,3680317,4582864
Austria,Europe,Western Europe,11,77,79,70,47.0,63.0,633753,764758,920045,1174101,1285706,1540486,1781046,2327064,293596,357560,440533,563878,612543,748684,870537,1099528,340157,407198,479512,610223,673163,791802,910509,1227536
Belgium,Europe,Western Europe,65,81,54,94,61.0,57.0,944340,1003834,1076676,1243352,1567639,1814949,2046975,2349032,462141,488507,522111,598216,762044,888330,1005769,1150738,482199,515327,554565,645136,805595,926619,1041206,1198294
France,Europe,Western Europe,68,74,43,86,60.0,48.0,5890023,5936326,6141350,6839877,7322210,7978076,8610719,9186757,2995574,2970070,3032975,3348081,3552403,3853136,4145885,4381792,2894449,2966256,3108375,3491796,3769807,4124940,4464834,4804965
Germany,Europe,Western Europe,35,79,66,65,57.0,40.0,6960112,9637208,10397459,11210590,11665950,12646813,15021300,16750084,3480056,4818604,5094755,5437136,5599656,6196938,7435543,8375042,3480056,4818604,5302704,5773454,6066294,6449875,7585757,8375042
Luxembourg,Europe,Western Europe,40,60,50,70,64.0,56.0,113795,126106,139750,150618,163142,248888,298062,344309,56062,62292,69286,74951,81420,126129,151653,175183,57733,63814,70464,75667,81722,122759,146409,169126
Netherlands,Europe,Western Europe,38,100,14,53,67.0,68.0,1194306,1397371,1584638,1735632,1850649,2024059,2425521,2956518,583710,686812,780509,845376,888791,966517,1170110,1438571,610596,710559,804129,890256,961858,1057542,1255411,1517947
Switzerland,Europe,Western Europe,34,79,70,58,42.0,66.0,1252320,1363586,1484514,1740312,2053953,2385713,2610189,2773840,638198,718853,795489,900594,1003457,1167318,1281032,1377346,614122,644733,689025,839718,1050496,1218395,1329157,1396494
Dominican Republic,Latin America and the Caribbean,Caribbean,65,38,65,45,11.0,54.0,291151,323381,355611,375417,395479,549289,603794,738667,181677,198842,216008,227826,239808,353448,382542,444850,109474,124539,139603,147591,155671,195841,221252,293817
Jamaica,Latin America and the Caribbean,Caribbean,45,39,68,13,18.3,74.7,20475,22713,24952,24284,23677,23165,23629,24007,9981,11242,12503,12248,12024,11765,12008,12200,10494,11471,12449,12036,11653,11400,11621,11807
Puerto Rico,Latin America and the Caribbean,Caribbean,68,43,56,38,27.0,90.0,321909,338067,355038,352144,304969,280494,247132,223323,153354,160739,168480,166780,142939,130916,114868,103801,168555,177328,186558,185364,162030,149578,132264,119522
Trinidad and Tobago,Latin America and the Caribbean,Caribbean,47,25,58,55,17.0,80.0,50666,45994,41753,44812,48226,50021,78849,113478,23528,21303,19288,20647,23152,24464,39179,56386,27138,24691,22465,24165,25074,25557,39670,57092
Costa Rica,Latin America and the Caribbean,Central America,35,15,21,86,18.5,68.5,417628,364287,310946,358398,405779,411697,520729,628404,212173,184485,156798,176445,196055,197613,263636,318150,205455,179802,154148,181953,209724,214084,257093,310254
El Salvador,Latin America and the Caribbean,Central America,66,19,40,94,20.0,89.0,47360,39537,31713,36029,40342,42059,42767,43342,22218,18564,14909,17034,19157,20006,20344,20618,25142,20973,16804,18995,21185,22053,22423,22724
Guatemala,Latin America and the Caribbean,Central America,95,36,37,98,25.0,68.5,264257,156188,48119,57214,66386,74852,84311,92732,112615,66913,21211,26048,30919,35728,39916,43903,151642,89275,26908,31166,35467,39124,44395,48829
Honduras,Latin America and the Caribbean,Central America,80,20,40,50,18.5,68.5,270423,149442,28461,27934,27288,38330,39195,39901,137573,76077,14581,14476,14306,20123,20575,20946,132850,73365,13880,13458,12982,18207,18620,18955
Mexico,Latin America and the Caribbean,Central America,81,34,69,82,23.0,97.0,701513,458051,526172,701803,957593,1088731,1335154,1726089,367740,233126,267158,355783,485887,554049,689611,909750,333773,224925,259014,346020,471706,534682,645543,816339
Panama,Latin America and the Caribbean,Central America,95,11,44,86,18.5,68.5,62744,70848,83410,109461,157788,184710,313165,477749,33148,36740,42437,55632,81203,94841,167057,254854,29596,34108,40973,53829,76585,89869,146108,222895
South America,Latin America and the Caribbean,Central America,49,23,63,49,18.0,63.0,4319559,4243306,4210082,4423159,5198444,5673584,10242853,12577921,2159681,2101631,2067229,2166274,2551858,2800532,5096474,6219168,2159878,2141675,2142853,2256885,2646586,2873052,5146379,6358753
Argentina,Latin America and the Caribbean,Central America,49,51,56,86,29.0,62.0,1647935,1589660,1543851,1641560,1799680,1856613,1912294,1958039,784994,741440,705920,752040,828783,851985,867437,879705,862941,848220,837931,889520,970897,1004628,1044857,1078334
Bolivia,Latin America and the Caribbean,Central America,78,23,42,87,21.0,46.0,73758,83598,92658,107745,122846,143008,164121,183234,37549,42806,47665,56019,64380,74949,85961,95972,36209,40792,44993,51726,58466,68059,78160,87262
Brazil,Latin America and the Caribbean,Central America,69,36,49,76,28.0,59.0,803218,732622,687362,641029,596859,646540,1048866,1406299,428431,390904,367897,344550,322553,355744,640244,818836,374787,341718,319465,296479,274306,290796,408622,587463
Chile,Latin America and the Caribbean,Central America,63,49,28,86,12.0,68.0,100133,125754,166608,241522,361531,598039,1476240,1538324,50080,61978,80087,114481,170529,299435,752067,783289,50053,63776,86521,127041,191002,298604,724173,755035
Colombia,Latin America and the Caribbean,Central America,67,29,64,80,6.0,83.0,100672,109550,109863,110495,126424,145504,1932807,3063518,51083,55620,56187,57131,66244,77608,961374,1521185,49589,53930,53676,53364,60180,67896,971433,1542333
