"country","continent","region","1990","1990_male","1990_female","1995","1995_male","1995_female","2000","2000_male","2000_female","2005","2005_male","2005_female","2010","2010_male","2010_female","2015","2015_male","2015_female","2020","2020_male","2020_female","2024","2024_male","2024_female"
"Indonesia","ASIA","South-Eastern Asia","92058","114419","287645","87508","113288","192119","306702","445726","48516","59984","168284","46262","60716","104362","164933","239643","43542","54435","119361","41246","52572","87757","141769","206083"
"Lao People's Democratic Republic","ASIA","South-Eastern Asia","22866","23526","21948","20371","32955","45538","48731","51446","11806","12199","11564","10930","20133","29335","31393","33142","11060","11327","10384","9441","12822","16203","17338","18304"
"Malaysia","ASIA","South-Eastern Asia","1027572","1312828","1613819","2174308","3086876","3513497","3718696","3806514","596598","736583","888379","1185459","1891351","2071320","2581227","2935226","430974","576245","725440","988849","1195525","1442177","1137469","871288"
"Myanmar","ASIA","South-Eastern Asia","133545","113663","98011","83025","76414","73309","76446","79052","72310","61489","52150","44506","41574","40178","41898","43326","61235","52174","45861","38519","34840","33131","34548","35726"
"Philippines","ASIA","South-Eastern Asia","134600","145980","157361","168741","178147","131897","87212","87212","71127","78895","86664","94431","101237","80911","61273","61273","63473","67085","70697","74310","76910","50986","25939","25939"
"Singapore","ASIA","South-Eastern Asia","729377","993616","1319433","1494527","2160350","2535340","2589107","2841665","343638","455143","587340","660460","948117","1099496","1113683","1219095","385739","538473","732093","834067","1212233","1435844","1475424","1622570"
"Thailand","ASIA","South-Eastern Asia","287933","271568","771234","1705845","2640454","2853248","3015007","3179399","187089","175611","389097","923939","1458781","1587904","1688347","1787785","100844","95957","382137","781906","1181673","1265344","1326660","1391614"
"Timor-Leste","ASIA","South-Eastern Asia","8954","9743","10602","11286","11540","8520","8399","8303","4450","4763","5095","5578","5837","5148","5076","5018","4504","4980","5507","5708","5703","3372","3323","3285"
"Viet Nam","ASIA","South-Eastern Asia","88560","88376","86213","81997","84408","101386","200639","326418","44481","44541","43376","40269","40086","46973","95911","153988","44079","43835","42837","41728","44322","54413","104728","172430"
"Armenia","ASIA","Western Asia","433541","622042","588242","476812","210873","190896","207139","274645","178007","265656","252834","204448","86213","78453","86816","117974","255534","356386","335408","272364","124660","112443","120323","156671"
"Azerbaijan","ASIA","Western Asia","402177","588812","523518","301922","251417","224337","198894","218460","188096","287065","255349","142356","117816","105316","93478","104564","214081","301747","268169","159566","133601","119021","105416","113896"
"Bahrain","ASIA","Western Asia","176972","213818","238924","387591","643007","721540","785983","840202","123841","151047","165022","276879","465842","516200","574583","616321","53131","62771","73902","110712","177165","205340","211400","223881"
"Cyprus","ASIA","Western Asia","43805","61941","80076","122849","188472","176693","190366","202062","20463","27604","34745","53532","82477","77357","85679","90943","23342","34337","45331","69317","105995","99336","104687","111119"
"Georgia","ASIA","Western Asia","304470","152235","76117","71296","73078","76685","79368","81582","133285","66643","33321","31215","31993","33570","34879","35852","171185","85592","42796","40081","41085","43115","44489","45730"
"Iraq","ASIA","Western Asia","83638","199460","210525","134863","120466","359352","365766","370980","55751","114821","120464","81877","74535","209217","201427","204298","27887","84639","90061","52986","45931","150135","164339","166682"
"Israel","ASIA","Western Asia","1622505","1781111","1838155","1881017","1953214","2019891","2068830","2091569","760298","825586","849174","864601","903569","937050","953833","954699","862207","955525","988981","1016416","1049645","1082841","1114997","1136870"
